"","precinct_importance"
"1",0.583
"10",0.348
"14",0.138
"15",0.11
"17",0.289
"18",0.22
"19",0.192
"2",0.381
"20",0.263
"21",0.146
"22",0.322
"23",0.514
"24",0.841
"25",0.824
"26",1
"28",0.9
"29",0.642
"3",0.253
"30-2",0.639
"30-3",0.512
"32",0.864
"36",0.588
"37",0.795
"4",0.332
"40",0.437
"43",0.821
"44",0.877
"45",0.913
"46",0.263
"5",0.056
"50",0.611
"52",0
"6",0.568
"7",0.527
"8",0.21
"9",0.56
